month,cov,ks_conf,mean_conf,est_cov,set_size,frac_single,emb_shift,pred_entropy
2022-11,0.8983333333333333,0.10930555555555556,0.759772456568737,0.8628598546608726,1.34,0.6916666666666667,0.09889649,0.7078297868633403
2022-12,0.885,0.059166666666666666,0.7732950634052536,0.8662731340548426,1.3083333333333333,0.7216666666666667,0.11006203,0.6772099181679921
2023-01,0.89,0.07152777777777777,0.7743491421434883,0.8581375477230758,1.2716666666666667,0.7466666666666667,0.084565565,0.685603774726326
2023-02,0.8866666666666667,0.13680555555555557,0.7508503441848734,0.85768160299089,1.345,0.6733333333333333,0.10157449,0.7312435482458118
2023-03,0.895,0.06972222222222223,0.7684840908777559,0.862415833705085,1.305,0.7066666666666667,0.12020144,0.689303580383385
2023-04,0.8933333333333333,0.08277777777777778,0.7692669329307527,0.8638869593784928,1.3183333333333334,0.695,0.098146945,0.6946635800455048
2023-05,0.8883333333333333,0.08625,0.7682824961836708,0.8642141553453943,1.32,0.705,0.15356669,0.690549172475846
2023-06,0.875,0.11875,0.7553846175415475,0.8566578641828956,1.3416666666666666,0.6816666666666666,0.13232265,0.7249432983328485
2023-07,0.8783333333333333,0.07972222222222222,0.7640124150204279,0.8608487982333872,1.3183333333333334,0.6983333333333334,0.12134845,0.6993848798772012
2023-08,0.8666666666666667,0.09166666666666666,0.7638559094778744,0.8659971519017146,1.33,0.6833333333333333,0.11457024,0.6883810858015887
2023-09,0.8916666666666667,0.08236111111111111,0.778063314416426,0.8680813279322668,1.3033333333333332,0.7166666666666667,0.13008006,0.6747767309965941
2023-10,0.8366666666666667,0.10972222222222222,0.7547953220215398,0.850597344714044,1.325,0.7,0.15399434,0.7338815713806497
2023-11,0.8833333333333333,0.05708333333333333,0.7751252763937343,0.8679981275660669,1.3033333333333332,0.715,0.14804702,0.6744119902451459
2023-12,0.8733333333333333,0.08375,0.7731005577484404,0.8619918837281889,1.3,0.7166666666666667,0.14149377,0.6890342965757823
2024-01,0.895,0.050833333333333335,0.7779385145973751,0.8665667426096381,1.2916666666666667,0.7316666666666667,0.13209812,0.6716801355193017
2024-02,0.8733333333333333,0.10555555555555556,0.7526548462218967,0.8515089445556883,1.3416666666666666,0.685,0.16311999,0.7376784660973688
2024-03,0.8916666666666667,0.052222222222222225,0.7841231421218479,0.8651592434894915,1.2733333333333334,0.745,0.14589834,0.666857152437196
2024-04,0.8616666666666667,0.08083333333333333,0.7709830475793804,0.8604078493538271,1.3066666666666666,0.705,0.1532951,0.6899567395459802
2024-05,0.87,0.14916666666666667,0.7349986672708184,0.8415063281560309,1.36,0.6666666666666666,0.13562492,0.7815309888529385
